Company,DisplayLink,Website,Title,new_links,fuzzy_ratio_link(simple),fuzzy_ratio_title(simple),fuzzy_ratio_link(partial),fuzzy_ratio_title(partial),fuzzy_ratio_link(token_sort),fuzzy_ratio_title(token_sort),fuzzy_ratio_link(token_set),fuzzy_ratio_title(token_set)
Bartek Ingredients Inc.,www.bartek.ca,https://www.bartek.ca/,Bartek Ingredients | Malic and Fumaric Acid,bartek.ca,38,64,56,83,52,67,80,90
Bartek Ingredients Inc.,www.businesswire.com,https://www.businesswire.com/news/home/20181115005756/en/Bartek-Ingredients-Acquired-Private-Equity-Firm-TorQuest,Bartek Ingredients Inc Acquired by Private Equity Firm TorQuest ,businesswire.com,21,51,25,96,32,52,32,100
Bartek Ingredients Inc.,www.businesswire.com,https://www.businesswire.com/news/home/20190903005672/en/Bartek-Ingredients-Purchases-New-State-of-the-Art-Maleic-Anhydride,Bartek Ingredients Purchases New State-of-the-Art Maleic Anhydride ,businesswire.com,21,44,25,87,32,41,32,90
Bartek Ingredients Inc.,www.bartek.ca,https://www.bartek.ca/products/malic-acid/,Malic Acid | Bartek Ingredients,bartek.ca,38,67,56,88,52,71,80,90
Bartek Ingredients Inc.,www.newswire.ca,https://www.newswire.ca/news-releases/torquest-partners-completes-acquisition-of-bartek-ingredients-700363791.html,TorQuest Partners Completes Acquisition of Bartek Ingredients,newswire.ca,24,43,30,88,30,48,30,90
Bartek Ingredients Inc.,www.payscale.com,https://www.payscale.com/research/CA/Employer=Bartek_Ingredients_Inc./Salary,Average Bartek Ingredients Inc Salary in Canada | PayScale,payscale.com,17,54,33,96,12,56,12,100
Bartek Ingredients Inc.,www.sdc.gov.on.ca,https://www.sdc.gov.on.ca/sites/mol/drs/ca/Manufacturing%20%20Industrial/325-6975-14%20(378-0073).pdf,collective agreement between bartek ingredients inc at its plants in ,sdc.gov.on.ca,17,41,32,83,23,49,23,100
Bartek Ingredients Inc.,torquest.com,https://torquest.com/news/article/torquest-partners-completes-acquisition-of-bartek-ingredients,TorQuest Partners Completes Acquisition of Bartek Ingredients ,torquest.com,17,45,29,90,12,48,12,90
Bartek Ingredients Inc.,www.foodingredientsfirst.com,https://www.foodingredientsfirst.com/news/bartek-ingredients-plans-malic-and-food-grade-fumaric-acid-capacity-expansion.html,Bartek Ingredients plans malic and fumaric acid capacity expansion,foodingredientsfirst.com,47,47,48,87,52,50,52,90
Blueberry Transformation Technologies,www.tandfonline.com,https://www.tandfonline.com/doi/abs/10.1080/15538362.2011.623083,Recent Advances in Blueberry Transformation International Journal ,tandfonline.com,19,58,38,76,31,57,31,79
Blueberry Transformation Technologies,www.researchgate.net,https://www.researchgate.net/publication/235927523_Recent_Advances_in_Blueberry_Transformation,(PDF) Recent Advances in Blueberry Transformation,researchgate.net,26,56,31,79,19,67,19,79
Blueberry Transformation Technologies,www.tandfonline.com,https://www.tandfonline.com/doi/full/10.1080/15538362.2011.623083?scroll=top&needAccess=true,Full article Recent Advances in Blueberry Transformation,tandfonline.com,19,52,38,79,31,60,31,79
Blueberry Transformation Technologies,pubag.nal.usda.gov,https://pubag.nal.usda.gov/catalog/352816,Recent Advances in Blueberry Transformation - PubAg,pubag.nal.usda.gov,15,59,33,75,15,65,15,79
Blueberry Transformation Technologies,asq.org,https://asq.org/training/instructors/transformation-technologies,Transformation Technologies | ASQ,asq.org,23,77,57,90,14,82,14,93
Blueberry Transformation Technologies,www.ptc.com,https://www.ptc.com/en/product-lifecycle-report/digital-transformation-technologies,8 Commonly-Used Digital Transformation Technologies | PTC,ptc.com,9,64,29,78,14,65,14,84
Blueberry Transformation Technologies,www.ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6405644/,Agrobacterium-Mediated Transformation of Tree Fruit Crops ,ncbi.nlm.nih.gov,11,48,19,57,11,49,11,55
Blueberry Transformation Technologies,www.techrepublic.com,https://www.techrepublic.com/article/the-top-technologies-that-enabled-digital-transformation-this-decade/,The top technologies that enabled digital transformation this decade ,techrepublic.com,19,42,31,55,26,59,26,84
Bonnie & Don Flavours Inc.,bdflavours.com,https://bdflavours.com/,Essences Bonnie & Don Flavours Inc ,bdflavours.com,40,82,57,96,65,84,65,100
Bonnie & Don Flavours Inc.,bdflavours.com,https://bdflavours.com/en/contact-us.html,Contact Us | Bonnie & Don Essences Flavours Inc,bdflavours.com,40,68,57,65,65,70,65,100
Bonnie & Don Flavours Inc.,www.bakersjournal.com,https://www.bakersjournal.com/company/bonnie-don-flavours-inc/,BONNIE & DON FLAVOURS INC - Bakers Journal,bakersjournal.com,28,35,41,35,35,75,35,100
Bonnie & Don Flavours Inc.,web.mbot.com,https://web.mbot.com/Food-and-Beverage/Essences-Bonnie-Don-Flavours-Inc-254,Essences Bonnie & Don Flavours Inc,web.mbot.com,11,83,17,98,17,84,17,100
Bonnie & Don Flavours Inc.,ift19.mapyourshow.com,https://ift19.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00025638,Bonnie & Don Flavours Inc ,ift19.mapyourshow.com,30,96,33,96,36,100,36,100
Bonnie & Don Flavours Inc.,www.greenpeople.org,http://www.greenpeople.org/listing/Bonnie-Don-Flavours-62776.cfm,Bonnie & Don Flavours Inc located in Mississauga British ,greenpeople.org,20,60,27,96,26,60,26,100
Bonnie & Don Flavours Inc.,buyersguide.idfa.org,http://buyersguide.idfa.org/Listing/Company/40149548,Bonnie & Don Flavours Inc - IDFA Online Buyers' Guide,buyersguide.idfa.org,17,63,28,96,33,65,33,100
Bonnie & Don Flavours Inc.,www.frasersdirectory.com,https://www.frasersdirectory.com/suppliers/bonnie-don-flavours-inc-16573753884/,Bonnie & Don Flavours Inc - FRASERS,frasersdirectory.com,22,82,31,96,37,85,37,100
Bowen Island Botanicals Ltd,www.sangredefruta.com,https://www.sangredefruta.com/,Sangre de Fruta,sangredefruta.com,32,29,41,33,14,24,14,24
Bowen Island Botanicals Ltd,www.sangredefruta.com,https://www.sangredefruta.com/about,ABOUT ̣ Sangre de Fruta,sangredefruta.com,32,31,41,29,14,29,14,29
Bowen Island Botanicals Ltd,www.sangredefruta.com,https://www.sangredefruta.com/contact,Contact ̣ Sangre de Fruta,sangredefruta.com,32,34,41,31,14,32,14,32
Bowen Island Botanicals Ltd,www.bowenislandundercurrent.com,https://www.bowenislandundercurrent.com/news/local-face-serum-selected-for-next-week-s-international-emmys-gift-bag-1.24016507,Local face serum selected for next week's International Emmys gift bag,bowenislandundercurrent.com,37,14,37,30,44,25,44,25
Bowen Island Botanicals Ltd,thehearth.ca,https://thehearth.ca/visual.php,Visual Arts | Bowen Island Arts Council,thehearth.ca,26,48,33,62,31,56,31,62
Bowen Island Botanicals Ltd,www.bowenislandundercurrent.com,http://www.bowenislandundercurrent.com/special-features/wade-davis-1.2275188,Wade Davis | Bowen Island Undercurrent,bowenislandundercurrent.com,37,43,37,54,44,48,44,62
Bowen Island Botanicals Ltd,bowenisland.civicweb.net,https://bowenisland.civicweb.net/document/201622,Agrarian Analysis,bowenisland.civicweb.net,47,27,46,41,51,32,51,32
Brookside Foods Ltd.,www.brooksidechocolate.com,https://www.brooksidechocolate.com/en_us/home.html,BROOKSIDE Chocolate | Bold and Ballsy Dark Chocolate Candy,brooksidechocolate.com,57,21,60,40,54,35,54,64
Brookside Foods Ltd.,www.candyindustry.com,https://www.candyindustry.com/articles/84082-hershey-to-acquire-brookside-foods-ltd,Hershey to acquire Brookside Foods Ltd ,candyindustry.com,11,64,33,95,11,67,11,100
Brookside Foods Ltd.,www.businesswire.com,https://www.businesswire.com/news/home/20111208006310/en/Hershey-Reaches-Agreement-Acquire-Brookside-Foods-Ltd.,Hershey Reaches an Agreement to Acquire Brookside Foods Ltd ,businesswire.com,22,48,31,95,34,49,34,100
Brookside Foods Ltd.,www.crunchbase.com,https://www.crunchbase.com/organization/brookside-foods-ltd,Brookside Foods Ltd | Crunchbase,crunchbase.com,12,73,29,95,18,78,18,100
Brookside Foods Ltd.,www.confectionerynews.com,https://www.confectionerynews.com/Article/2016/06/15/Hershey-to-close-Brookside-Abbotsford-factory-with-loss-of-180-jobs,Hershey to close Brookside Abbotsford factory with loss of 180 jobs,confectionerynews.com,10,34,13,65,10,40,10,64
Brookside Foods Ltd.,consumergoods.com,https://consumergoods.com/hershey-acquire-brookside-foods-ltd,Hershey to Acquire Brookside Foods Ltd | News | Consumer Goods ,consumergoods.com,32,46,47,95,28,49,28,100
Brookside Foods Ltd.,www.foodnavigator-usa.com,https://www.foodnavigator-usa.com/Article/2011/12/09/Hershey-to-acquire-Canadian-confectionery-firm-Brookside-Foods,Hershey to acquire Canadian confectionery firm Brookside Foods,foodnavigator-usa.com,24,37,25,86,35,42,35,88
Bryconn Dev. Inc.,www.agric.gov.ab.ca,https://www.agric.gov.ab.ca/app68/foodindustry?section=town&cat1=Ardrossan,Ardrossan,agric.gov.ab.ca,38,23,33,33,33,25,33,25
Bryconn Dev. Inc.,www.yumpu.com,https://www.yumpu.com/en/document/view/31765412/central-alberta-directory,Central Alberta Directory,yumpu.com,23,10,33,20,25,15,25,15
Bryconn Dev. Inc.,www.agric.gov.ab.ca,https://www.agric.gov.ab.ca/app68/foodindustry?action=print&section=category&cat1=Eggs+%26+Egg+Products,Agriculture and Forestry Printer Friendly Agricultural Processing ,agric.gov.ab.ca,38,14,33,27,33,18,33,18
Bryconn Dev. Inc.,partners.agric.gov.ab.ca,https://partners.agric.gov.ab.ca/app68/listings/meat_facilities/meat_facilities_map.jsp,Provincially Licensed Meat Facilities - Agriculture and Forestry,partners.agric.gov.ab.ca,29,5,39,20,36,21,36,21
Bryconn Dev. Inc.,www.agric.gov.ab.ca,https://www.agric.gov.ab.ca/app68/foodindustrylisting?id=964&section=town&cat1=Ardrossan,Agriculture and Forestry Printer Friendly Agricultural Processing ,agric.gov.ab.ca,38,14,33,27,33,18,33,18
Bryconn Dev. Inc.,www.tradesparq.com,https://www.tradesparq.com/company-directory/131/5,Browse Shipment Records by Company,tradesparq.com,19,20,21,29,34,29,34,29
Bryconn Dev. Inc.,www.nafma.ca,http://www.nafma.ca/map-assets/map.html,Northeast Alberta Agrifood Region,nafma.ca,8,12,25,24,17,17,17,17
Bryconn Dev. Inc.,open.alberta.ca,https://open.alberta.ca/dataset/0cb27f51-d48f-4d66-8e29-a225f315da22/resource/39cfcaf8-c932-4d9b-9602-f2eb6fb7538c/download/agprodir2016.pdf,2016,open.alberta.ca,12,0,29,0,33,0,33,0
Bryconn Dev. Inc.,www.brystsoccer.com,https://www.brystsoccer.com/,Bryst Football Academy Inc ,brystsoccer.com,25,41,27,32,33,39,33,39
Canadian Emu Oil Limited,www.ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4988551/,Ratite oils promote keratinocyte cell growth and inhibit leukocyte ,ncbi.nlm.nih.gov,25,11,29,38,25,31,25,31
Canadian Emu Oil Limited,www.healthline.com,https://www.healthline.com/health/emu-oil,Emu Oil Skin Benefits Internal Uses and Side Effects,healthline.com,16,34,12,46,26,42,26,45
Canadian Emu Oil Limited,www.homestead.org,https://www.homestead.org/livestock/the-healing-properties-of-emus/,The Healing Properties of Emus - Benefits of Emu Oil - Homestead org,homestead.org,11,37,38,54,32,39,32,45
Canadian Emu Oil Limited,www.medicalnewstoday.com,https://www.medicalnewstoday.com/articles/315535,Emu oil Uses benefits and side effects,medicalnewstoday.com,23,32,18,38,18,39,18,52
Canadian Emu Oil Limited,codescornerorganicfarm.com,http://codescornerorganicfarm.com/our-history/,Our History | Codes Corner Organic Farm,codescornerorganicfarm.com,20,16,27,24,24,20,24,20
Canadian Emu Oil Limited,nasobih.com,http://nasobih.com/nasobih-100-pure-canadian-emu-oil/,Who knew about Emu! | Nasobih | Nasobih Naturals Ltd ,nasobih.com,23,31,36,36,23,37,23,35
Canadian Emu Oil Limited,walkabouthealthproducts.com,https://walkabouthealthproducts.com/,Walkabout Health Products Emu Oil,walkabouthealthproducts.com,16,39,21,45,24,35,24,45
Canadian Emu Oil Limited,aea-emu.org,http://aea-emu.org/aea-research-timeline-emu-oil/,Aea Research Timeline Emu Oil | American Emu Association,aea-emu.org,23,38,36,46,46,44,46,51
Cedarome Canada Inc.,cedarome.com,https://cedarome.com/,Cedarome Essential oils Citrus Oils & Canadian forest naturals,cedarome.com,50,41,58,55,65,46,80,59
Cedarome Canada Inc.,cedarome.com,https://cedarome.com/contact-us/,Contact us by phone email address operation hours | Cedarome,cedarome.com,50,20,58,57,65,36,80,59
Cedarome Canada Inc.,cedarome.com,https://cedarome.com/2018/09/10/new-website-cedarome-canada/,New website for Cedarome Canada inc ,cedarome.com,50,64,58,90,65,70,80,100
Cedarome Canada Inc.,cedarome.com,https://cedarome.com/essential-oils-pure-natural/,Pure and natural Essential oils directly from the source | Cedarome,cedarome.com,50,18,58,57,65,38,80,59
Cedarome Canada Inc.,www.frasersdirectory.com,https://www.frasersdirectory.com/suppliers/cedarome-canada-inc-16573751893/,Cedarome Canada Inc - FRASERS,frasersdirectory.com,25,78,27,95,31,83,31,100
Citadelle Maple Syrup Producers' Cooperative,www.citadelle-camp.coop,https://www.citadelle-camp.coop/en,Quebec Maple Syrup Producers' Cooperative - Citadelle _ Citadelle,citadelle-camp.coop,44,68,53,84,45,82,64,100
Citadelle Maple Syrup Producers' Cooperative,www.citadelle-camp.coop,https://www.citadelle-camp.coop/en/maple/maple-syrup,Maple _ Citadelle,citadelle-camp.coop,44,30,53,53,45,50,64,94
Citadelle Maple Syrup Producers' Cooperative,www.thenews.coop,https://www.thenews.coop/38553/sector/retail/citadelle-local-co-op-world-leading-maple-syrup-producer/,Citadelle from a local co-op to a world-leading maple syrup producer,thenews.coop,25,48,42,54,25,67,25,66
Citadelle Maple Syrup Producers' Cooperative,www.groupexport.ca,http://www.groupexport.ca/en/repertoire/fiche_entreprise/102-citadelle-maple-syrup-producers-cooperative,Citadelle Maple Syrup Producers' Cooperative - Exporter's details ,groupexport.ca,21,80,43,100,28,82,28,100
Citadelle Maple Syrup Producers' Cooperative,www.internationalmaplesyrupinstitute.com,http://www.internationalmaplesyrupinstitute.com/news--events,News & Events - International Maple Syrup Institute,internationalmaplesyrupinstitute.com,40,42,39,56,43,53,43,51
Complementary and Alternative Medicine (University of Toronto),sciencebasedmedicine.org,https://sciencebasedmedicine.org/pseudoscience-north-whats-happening-to-the-university-of-toronto/,Pseudoscience North What's happening to the University of Toronto ,sciencebasedmedicine.org,30,48,38,53,31,45,31,52
Complementary and Alternative Medicine (University of Toronto),fas.calendar.utoronto.ca,https://fas.calendar.utoronto.ca/course/hmb434h1,HMB434H1 Complementary & Integrative Medicine | Academic ,fas.calendar.utoronto.ca,28,59,33,61,38,46,38,59
Complementary and Alternative Medicine (University of Toronto),www.ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pubmed/28494011,Changes in the use practitioner-based complementary and ,ncbi.nlm.nih.gov,10,31,25,32,13,42,13,47
Complementary and Alternative Medicine (University of Toronto),www.pharmacy.utoronto.ca,https://www.pharmacy.utoronto.ca/faculty/heather-boon-professor,Heather Boon Professor | Leslie Dan Faculty of Pharmacy ,pharmacy.utoronto.ca,27,25,42,28,35,28,35,34
Complementary and Alternative Medicine (University of Toronto),tspace.library.utoronto.ca,https://tspace.library.utoronto.ca/handle/1807/81631,Complementary and Alternative Medicine on Wikipedia ,tspace.library.utoronto.ca,27,72,35,77,40,79,40,85
Complementary and Alternative Medicine (University of Toronto),www.utoronto.ca,https://www.utoronto.ca/news/doctors-take-alternative-medicine,A doctor's take on alternative medicine,utoronto.ca,19,46,60,59,25,61,25,68
Complementary and Alternative Medicine (University of Toronto),tspace.library.utoronto.ca,https://tspace.library.utoronto.ca/handle/1807/62958,Utilization And Practice Of Traditional/Complementary/Alternative ,tspace.library.utoronto.ca,27,39,35,57,40,64,40,70
